省,市,县,台站名,台站号,经度,纬度,检验站号,行政编码
湖南,常德市,石门县,石门,57562,111.3633,29.5833,57562,430726
湖南,常德市,澧县,澧县,57565,111.7258,29.6675,57565,430723
湖南,常德市,临澧县,临澧,57566,111.67,29.4692,57566,430724
湖南,常德市,安乡县,安乡,57577,112.2047,29.41,57577,430721
湖南,常德市,桃源县,桃源,57661,111.4797,28.9133,57661,430725
湖南,常德市,市辖区,常德,57662,111.6764,29.1169,57662,430701
湖南,常德市,汉寿县,汉寿,57663,111.9583,28.9203,57663,430722
湖南,郴州市,安仁县,安仁,57881,113.285,26.7086,57881,431028
湖南,郴州市,永兴县,永兴,57887,113.1147,26.1189,57887,431023
湖南,郴州市,桂东县,桂东,57889,113.9447,26.0797,57889,431027
湖南,郴州市,北湖区,郴州,57972,112.9772,25.7356,57972,431002
湖南,郴州市,桂阳县,桂阳,57973,112.7247,25.7494,57973,431021
湖南,郴州市,嘉禾县,嘉禾,57974,112.3653,25.5814,57974,431024
湖南,郴州市,宜章县,宜章,57976,112.9406,25.4058,57976,431022
湖南,郴州市,临武县,临武,57978,112.5464,25.2731,57978,431025
湖南,郴州市,资兴市,资兴,57981,113.2172,25.9744,57981,431081
湖南,郴州市,汝城县,汝城,57985,113.6819,25.5144,57985,431026
湖南,衡阳市,南岳区,南岳,57776,112.6936,27.2961,57776,430412
湖南,衡阳市,衡山县,衡山,57777,112.8372,27.2581,57777,430423
湖南,衡阳市,衡东县,衡东,57778,112.9847,27.0525,57778,430424
湖南,衡阳市,祁东县,祁东,57870,112.0825,26.7633,57870,430426
湖南,衡阳市,衡阳县,衡阳县,57871,112.3669,26.9742,57871,430421
湖南,衡阳市,蒸湘区,衡阳市,57872,112.5942,26.9775,57872,430408
湖南,衡阳市,常宁市,常宁,57874,112.3942,26.4086,57874,430482
湖南,衡阳市,衡南县,衡南,57875,112.6914,26.755,57875,430422
湖南,衡阳市,耒阳市,耒阳,57876,112.8294,26.4278,57876,430481
湖南,怀化市,沅陵县,沅陵,57655,110.4031,28.4633,57655,431222
湖南,怀化市,辰溪县,辰溪,57658,110.1928,28.0069,57658,431223
湖南,怀化市,麻阳苗族自治县,麻阳,57743,109.8136,27.8586,57743,431226
湖南,怀化市,新晃侗族自治县,新晃,57744,109.1636,27.3681,57744,431227
湖南,怀化市,芷江侗族自治县,芷江,57745,109.6811,27.4547,57745,431228
湖南,怀化市,鹤城区,怀化,57749,110.0306,27.6069,57749,431202
湖南,怀化市,溆浦县,溆浦,57752,110.6006,27.9122,57752,431224
湖南,怀化市,洪江市,洪江,57754,109.8353,27.2117,57754,431281
湖南,怀化市,洪江市,雪峰山,57765,110.4072,27.325,57765,431281
湖南,怀化市,靖州苗族侗族自治县,靖州,57841,109.6733,26.5617,57841,431229
湖南,怀化市,会同县,会同,57842,109.72,26.8767,57842,431225
湖南,怀化市,通道侗族自治县,通道,57845,109.7833,26.1667,57845,431230
湖南,娄底市,冷水江市,冷水江,57760,111.4367,27.6964,57760,431381
湖南,娄底市,新化县,新化,57761,111.2939,27.7464,57761,431322
湖南,娄底市,涟源市,涟源,57762,111.6786,27.7053,57762,431382
湖南,娄底市,娄星区,娄底,57763,112.0011,27.6908,57763,431302
湖南,娄底市,双峰县,双峰,57774,112.2242,27.46,57774,431321
湖南,邵阳市,洞口县,洞口,57758,110.6064,27.0253,57758,430525
湖南,邵阳市,市辖区,邵阳市,57766,111.4536,27.185,57766,430501
湖南,邵阳市,隆回县,隆回,57767,111.0064,27.1264,57767,430524
湖南,邵阳市,新邵县,新邵,57768,111.4464,27.3411,57768,430522
湖南,邵阳市,邵东县,邵东,57769,111.7361,27.2375,57769,430521
湖南,邵阳市,绥宁县,绥宁,57846,110.1417,26.5861,57846,430527
湖南,邵阳市,新宁县,新宁,57851,110.8344,26.4603,57851,430528
湖南,邵阳市,武冈市,武冈,57853,110.6369,26.7383,57853,430581
湖南,邵阳市,城步苗族自治县,城步,57857,110.3108,26.3725,57857,430529
湖南,邵阳市,邵阳县,邵阳县,57860,111.2886,27.0025,57860,430523
湖南,湘潭市,韶山市,韶山,57771,112.53,27.9275,57771,430382
湖南,湘潭市,湘乡市,湘乡,57772,112.5061,27.7508,57772,430381
湖南,湘潭市,雨湖区,湘潭,57773,112.8275,27.8756,57773,430302
湖南,湘西土家族苗族自治州,龙山县,龙山,57544,109.4433,29.4581,57544,433130
湖南,湘西土家族苗族自治州,花垣县,花垣,57640,109.4567,28.5772,57640,433124
湖南,湘西土家族苗族自治州,保靖县,保靖,57642,109.6481,28.6808,57642,433125
湖南,湘西土家族苗族自治州,永顺县,永顺,57643,109.8383,29.0078,57643,433127
湖南,湘西土家族苗族自治州,古丈县,古丈,57646,109.9808,28.6803,57646,433126
湖南,湘西土家族苗族自治州,吉首市,吉首,57649,109.6819,28.2381,57649,433101
湖南,湘西土家族苗族自治州,泸溪县,泸溪,57657,110.2058,28.2269,57657,433122
湖南,湘西土家族苗族自治州,凤凰县,凤凰,57740,109.5953,27.9528,57740,433123
湖南,益阳市,南县,南县,57574,112.4317,29.3517,57574,430921
湖南,益阳市,桃江县,桃江,57666,112.1711,28.5061,57666,430922
湖南,益阳市,安化县,安化,57669,111.2458,28.3761,57669,430923
湖南,益阳市,沅江市,沅江,57671,112.3722,28.8394,57671,430981
